file_name,docsource,template_name,template_code,unit,currency_code,currency_name,currency_desc,lang_code,lang_name,lang_desc,datatype,pagenumberbscon,pagenumberbssta,pagenumberiscon,pagenumberissta,pagenumbercfcon,pagenumbercfsta,features,pagenumbernotes,pagenumbernotesliquidity,password,industrycode,finresult,entity_id,entity_name,finendmonthindex_code,finendmonthindex_name,country_code,country_name
D&B_Lion Brewery PLC 2022-2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,March Sri Lanka,March Sri Lanka,3,March,LKA,Srilanka
D&B_Longhorn Publishers Plc..pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchKenya,March Kenya,3,March,KEN,Kenya
D&B_lux-island-resorts-ltd-integrated-annual-report-2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,MUR,MUR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JuneMauritius,June Mauritius,6,June,MUS,Mauritius
D&B_M. M. Flour.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_MAADEN.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_MACKWOODS ENERGY PLC.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,March Sri Lanka,March Sri Lanka,3,March,LKA,Srilanka
D&B_Makandi-Tea-Coffee-Estates-Ltd-Accounts-2019.pdf,FST,Template_DNB,T_DNB,ACTUALS,MWK,MWK,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberMalawi,December Malawi,12,December,MWI,Malawi
D&B_Makandi-Tea-Coffee-Estates-Ltd-Accounts-2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,MWK,MWK,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberMalawi,December Malawi,12,December,MWI,Malawi
D&B_Makandi-Tea-Coffee-Estates-Ltd-Accounts-2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,MWK,MWK,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberMalawi,December Malawi,12,December,MWI,Malawi
D&B_MAKEMYTRIP.pdf,FST,Template_DNB,T_DNB,ACTUALS,USD,USD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchUSA,MarchUSA,3,March,USA,USA
D&B_MaldivesAirportsCompanyLimitedFinancialYear2020(0).pdf,FST,Template_DNB,T_DNB,ACTUALS,MVR,MVR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberMaldives,December Maldives,12,December,MDV,Maldives
D&B_MARAFIQ_3774_0_2022-11-22_15-27-24_En.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Mauwasat medical.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Mazaya Real Estate Development Q.P.S.C. - Cosolidated - English - December 2021 - FS issued final.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Medicare Group FS 31 Dec 2021 Final.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Medine-IR-2021-1.pdf,FST,Template_DNB,T_DNB,ACTUALS,MUR,MUR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JuneMauritius,June Mauritius,6,June,MUS,Mauritius
D&B_MEDVIEW AIRLINE PLC - (MEDVIEW AIRLINE PLC) _ (Nigeria Stock Exchange NG_ NSE).pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_MERS-Financials-2021-12-31-.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_MESAIEED_PETROCHEMICAL_HOLDING_COMPANY.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Metro Habib cash & carry.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,SeptemberPakistan,September Pakistan,9,September,PAK,Pakistan
D&B_Milaha-Annual-Report-2021-EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_MobileTelecom_KSA_482_0_2022-02-06_14-39-23_En.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_MORISON-REPORT-2019-MAIN.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_NADEC_472_0_2022-04-04_11-43-11_En.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_NAKILAT-ANNUAL-REPORT-2020_EN_WEB.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_NASEEJ_B.S.C.CLOSED_2018.pdf,FST,Template_DNB,T_DNB,ACTUALS,BHD,BHD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberBahrain,December Bahrain,12,December,BHR,Bahrain
D&B_NASEEJ_B.S.C.CLOSED_2019.pdf,FST,Template_DNB,T_DNB,ACTUALS,BHD,BHD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberBahrain,December Bahrain,12,December,BHR,Bahrain
D&B_NASEEJ_B.S.C.CLOSED_2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,BHD,BHD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberBahrain,December Bahrain,12,December,BHR,Bahrain
D&B_Nation_Media_Group.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,Decemberkenya,December kenya,12,December,KEN,Kenya
D&B_National Mobile Telecommunication.pdf,FST,Template_DNB,T_DNB,ACTUALS,KWD,KWD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberKuwait,December Kuwait,12,December,KWT,Kuwait
D&B_NBVAUDITED2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchKenya,March Kenya,3,March,KEN,Kenya
D&B_NEIMETH_INTERNATIONAL_PHARMACEUTICALS_PLC.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,SeptemberNigeria,September Nigeria,9,September,NGA,Nigeria
D&B_NESTLE_NIGERIA_PLC_2021_ANNUAL_REPORT.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_NEWCO-2020-Annual-Report.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,AprilNigeria,April Nigeria,4,April,NGA,Nigeria
D&B_ng-etranz-2021-ar-00.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_ng-nsltec-2021-ar-00.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Nigeria_AXA_MANSARD_INSURANCE_PLC _AUDITED_FINANCIAL_STATEMENT_2021.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Nigeria_BERGER_PAINTS_NIGERIA_PLC _AUDITED_FINANCIAL_STATEMENT_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Nigeria_MTN_NIGERIA_COMMUNICATIONS_PLC _AUDITED_FINANCIAL_STAT_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Nigeria_ZENITH_BANK_PLC__AUDITED_FINANCIAL_STATEMENT_FOR_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Nishat Paper.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_NISHAT_(CHUNIAN)_LIMITED_30.06.2021_Annual.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_NISHAT_(CHUNIAN)_LIMITED_Annual_report_2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_NNFM_Annual_Report_2021_Complete.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchNigeria,March Nigeria ,3,March,NGA,Nigeria
D&B_Oando-PLC-Q4-2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_OETC Audited FS 2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,OMR,OMR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberOman,December Oman,12,December,OMN,Oman
D&B_OETC Audited FS 2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,OMR,OMR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberOman,December Oman,12,December,OMN,Oman
D&B_OFFICE EQUIPMENT PLC.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,March Sri Lanka,March Sri Lanka,3,March,LKA,Srilanka
D&B_Palms Agro Production.pdf,FST,Template_DNB,T_DNB,ACTUALS,kWD,KWD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberKuwait,December Kuwait,12,December,KWT,Kuwait
D&B_Panafrica_Financial_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,TZS,TZS,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberTanzania,December Tanzania,12,December,TZA,Tanzania
D&B_Pavicon_Audited_Accounts_For_The_Year_Ending_31.12.2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,Decemberkenya,December kenya,12,December,KEN,Kenya
D&B_PBL-ABRIDGED-31-03-2022 (1).pdf,FST,Template_DNB,T_DNB,ACTUALS,MUR,MUR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JuneMauritius,June Mauritius,6,June,MUS,Mauritius
D&B_pdf (1).pdf,FST,Template_DNB,T_DNB,ACTUALS,GHC,GHC,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberGhana,DecemberGhana,12,December,GHA,Ghana
D&B_pdf.pdf,FST,Template_DNB,T_DNB,ACTUALS,GHC,GHC,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberGhana,DecemberGhana,12,December,GHA,Ghana
D&B_petro Rabigh.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Phonelink Limited Audited Accounts-2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,Decemberkenya,December kenya,12,December,KEN,Kenya
D&B_PPL2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_PR-381-GUINNESS-GHANA-ANNUAL-REPORT-AND-FINANCIAL-STATEMENTS.pdf,FST,Template_DNB,T_DNB,ACTUALS,GHC,GHC,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JuneGhana,June Ghana,6,June,GHA,Ghana
D&B_PSO 2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_Qatar Navigation.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_1512-Ooredoo_Consol_FS_English_Signed2.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_2015-03-31_Ooredoo-Group-AR14-Engish.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QATAR_ALUMINIUM_MANUFACTURING_COMPANY_Q.P.S.C.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_cinema_Dec_2021-English-FINAL.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_DOHI_FS_English_31_12_2021.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QATAR_ELECTRICITY_&_WATER_COMPANY.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_Qatar_Islamic_Bank_Annual_Report_2021.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_QNCC_ENGLISH_FINAL_DEC_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_Qatar_Salam_International_Annual_Report_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QatarAirways_Group_Financials_EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchQatar,March Qatar,3,March,QAT,Qatar
D&B_QatarAirways-Consolidated-FS-31-March-2021-EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchQatar,March Qatar,3,March,QAT,Qatar
D&B_QATARI GERMAN FOR MEDICAL DEVICES Q.S.C._135656666690.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QEWC_Consolidated_FS_31_Dec2021_EN_compressed.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QEWC_Fs_31_Dec_2020_-english.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QIMC FS Year 2021 - English.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QIMC_Annual_Report_2021_-_English_(2).pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QNCC_2020_-_ENGLISH_-_PDF_cement.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QNCC_ANNUAL_REPORT_19_EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QNCC_ANNUAL_REPORT_20_EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_QNCC_ANNUAL_REPORT_21_EN.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_RABIGH_418_0_2022-03-10_09-31-07_En.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_REPOA_Annual_Report_2021_B5.pdf,FST,Template_DNB,T_DNB,ACTUALS,TZS,TZS,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberTanzania,December Tanzania,12,December,TZA,Tanzania
D&B_REPOA-Annual-Report-2019.pdf,FST,Template_DNB,T_DNB,ACTUALS,TZS,TZS,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberTanzania,December Tanzania,12,December,TZA,Tanzania
D&B_RPL_2021_Rajpolmer_kenya.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,Decemberkenya,December kenya,12,December,KEN,Kenya
D&B_SABIC_Annual_Report_2021_EN_tcm1010-32120.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Safaricom_IR_2022_Final.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,MarchKenya,March Kenya,3,March,KEN,Kenya
D&B_SAFCO_Signed_English_Financial_statements_2020_tcm1039-26495.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Sahara_International_Petrochemical_Company.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Sahco_2021_Annual_Report.pdf,FST,Template_DNB,T_DNB,ACTUALS,NGN,NGN,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberNigeria,December Nigeria,12,December,NGA,Nigeria
D&B_Salam international.pdf,FST,Template_DNB,T_DNB,ACTUALS,QAR,QAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberQatar,December Qatar,12,December,QAT,Qatar
D&B_SATHOSA MOTORS PLC.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,March Sri Lanka,March Sri Lanka,3,March,LKA,Srilanka
D&B_SAUDI INDUSTRIAL_449_0_2022-04-05_10-24-32_En.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_AlRajhi_Bank_Annual_2019.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_AlRajhi_Bank_Annual_2020.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_AlRajhi_Bank_Annual_2021.pdf,FST,DNB_Insurance,DNB_Insurance,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Aramco_Annual_2019.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Aramco_Annual_2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Aramco_Annual_2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Wafrah_Company_For_Industry_and_Development_Annual_2018.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Wafrah_Company_For_Industry_and_Development_Annual_2019.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
D&B_Saudi_Arabia_Wafrah_Company_For_Industry_and_Development_Annual_2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,SAR,SAR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSaudi,December Saudi,12,December,SAU,Saudi
